policy,job_id,site,node,queued_at,started_at,ended_at,submit,start,end,wait_s,runtime_s,queue_seconds,energy_kwh,energy_wh,carbon_kg,carbon_g,ci_cost,ci_cost_g,source
carbonscaler,358ba937-1a3e-4728-8b8a-5b845fc94b1f,,hetsched-worker,2025-11-18T12:36:25+00:00,2025-11-18T12:36:27+00:00,2025-11-18T12:37:27+00:00,2025-11-18T12:36:25+00:00,2025-11-18T12:36:27+00:00,2025-11-18T12:37:27+00:00,2.0,60.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,kubernetes
carbonscaler,389020ad-b2d5-40ca-8dfb-f928072b5344,,hetsched-worker,2025-11-18T12:36:26+00:00,2025-11-18T12:36:30+00:00,2025-11-18T12:37:30+00:00,2025-11-18T12:36:26+00:00,2025-11-18T12:36:30+00:00,2025-11-18T12:37:30+00:00,4.0,60.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,kubernetes
carbonscaler,3a54b7b1-82f7-48e8-9789-2dddefe64ff6,A,hetsched-worker,2025-11-18T12:34:48+00:00,2025-11-18T12:34:59+00:00,2025-11-18T12:35:59+00:00,2025-11-18T12:34:48+00:00,2025-11-18T12:34:59+00:00,2025-11-18T12:35:59+00:00,11.0,60.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,kubernetes
carbonscaler,3a8491ea-26aa-49f7-ae7d-f925de7f76ed,,hetsched-worker,2025-11-18T12:36:27+00:00,2025-11-18T12:36:31+00:00,2025-11-18T12:37:31+00:00,2025-11-18T12:36:27+00:00,2025-11-18T12:36:31+00:00,2025-11-18T12:37:31+00:00,4.0,60.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,kubernetes
carbonscaler,3d107a57-7148-460e-8ac4-639b7d4d6645,A,hetsched-worker,2025-11-18T12:34:55+00:00,2025-11-18T12:35:10+00:00,2025-11-18T12:36:10+00:00,2025-11-18T12:34:55+00:00,2025-11-18T12:35:10+00:00,2025-11-18T12:36:10+00:00,15.0,60.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,kubernetes
carbonscaler,3edf6916-a997-4e3c-b38b-4807c29783db,B,themis-control-plane,2025-11-18T12:34:43+00:00,2025-11-18T12:34:50+00:00,2025-11-18T12:35:12+00:00,2025-11-18T12:34:43+00:00,2025-11-18T12:34:50+00:00,2025-11-18T12:35:12+00:00,7.0,22.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,kubernetes
carbonscaler,41f70cd1-61ff-4bdc-a112-defa461aae31,,hetsched-worker,2025-11-18T12:36:32+00:00,2025-11-18T12:36:44+00:00,2025-11-18T12:37:44+00:00,2025-11-18T12:36:32+00:00,2025-11-18T12:36:44+00:00,2025-11-18T12:37:44+00:00,12.0,60.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,kubernetes
carbonscaler,43d4a3f0-07ad-4de1-973e-ebc97a2261f4,A,hetsched-worker,2025-11-18T12:35:09+00:00,2025-11-18T12:35:27+00:00,2025-11-18T12:36:27+00:00,2025-11-18T12:35:09+00:00,2025-11-18T12:35:27+00:00,2025-11-18T12:36:27+00:00,18.0,60.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,kubernetes
carbonscaler,45794621-3e39-4a7a-84cd-a890e1c58c3f,,hetsched-worker,2025-11-18T12:36:26+00:00,2025-11-18T12:36:29+00:00,2025-11-18T12:37:29+00:00,2025-11-18T12:36:26+00:00,2025-11-18T12:36:29+00:00,2025-11-18T12:37:29+00:00,3.0,60.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,kubernetes
carbonscaler,4fbc871c-5e2e-4a25-8842-53ed6c86e28d,A,hetsched-worker,2025-11-18T12:35:02+00:00,2025-11-18T12:35:17+00:00,2025-11-18T12:36:17+00:00,2025-11-18T12:35:02+00:00,2025-11-18T12:35:17+00:00,2025-11-18T12:36:17+00:00,15.0,60.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,kubernetes
